,word,x,y
384,Passionate,-4.80804425972249,-3.23628798268
385,Fierce,0.3007309016112682,2.6891141137961716
386,warrior,5.944988537513201,2.4286607057942864
387,Consummate,-4.207782812622569,0.46027245043234727
388,dancer,7.5659158530122665,4.169380383822415
389,Charismatic,-2.9753022962594367,-5.1560678075375
390,leader,-6.340340311406099,-3.4091624544153545
391,Allpowerful,-0.24862954285357358,-6.31910008670335
392,incorruptible,-2.7706519033333854,-0.1821220704235896
393,Quick,-3.624704978561065,-7.673702720004092
394,wit,-3.2563897802115247,-3.0272185380269123
395,accompanied,-2.4180943129256955,9.342882512753393
396,equally,8.562386303469557,3.444418522842216
397,quick,-2.2209645866033663,9.355534522823662
398,fearsome,-7.077876500254572,7.258621517973871
399,temper,-1.63075906163912,6.96601891496962
400,Over,-3.614212455736987,-7.4510498692678695
401,centuries,-4.978777819043865,4.3817355676665715
402,foreigner,-8.390852321373243,-1.2228395728883006
403,came,9.726133498508252,-0.1917615308086099
404,land,-6.9856182409694805,-6.095082173002655
405,conqueror,-3.723346111793882,-6.620931120706913
406,merchant,-7.627457614511503,3.0558985556478815
407,scholar,-4.923760744860401,-3.76697662594538
408,ruler,-7.061438537125635,5.526221090632287
409,traveller,-3.5135814136575405,-6.519941224341495
410,believed,-6.46429556913589,-3.8959512650548427
411,could,-6.865735083224531,-5.368777876061903
412,possibly,-4.998147860560363,4.401976763073951
413,exist,-6.8023687605372425,5.1141660606395085
414,reality,5.28208089911098,5.823096297410176
415,assumed,7.28685940371649,4.095284076389385
416,must,-8.877681999379401,-5.796135986751242
417,mythical,0.6470796938863825,8.83566431631347
418,whose,-5.827298467405867,7.154192123743235
419,existence,-6.8611267656562145,-0.5823896234686935
420,realms,-2.049933260805697,0.9300420681251003
421,Unfortunately,-1.1230775000766442,7.580141407336163
